Fate,Sex,Boat.dibs,Age,Title,Class,Deck,Side,Fare,Fare.pp,Embarked,Family,RanN
Perished,male,No,22,Mr,Third,UNK,UNK,7.25,1.8125,S,3,2.96550049912184
Survived,female,Yes,38,Mrs,First,C,starboard,71.2833,17.820825,C,3,1.28177268896252
Survived,female,Yes,26,Miss,Third,UNK,UNK,7.925,2.64166666666667,S,2,5.00881624175236
Survived,female,Yes,35,Mrs,First,C,starboard,53.1,13.275,S,3,0.855367444455624
Perished,male,No,35,Mr,Third,UNK,UNK,8.05,2.68333333333333,S,2,5.98050425527617
Perished,male,No,30,Mr,Third,UNK,UNK,8.4583,2.81943333333333,Q,2,7.80383250210434
Perished,male,No,54,Mr,First,E,port,51.8625,17.2875,S,2,2.74398389039561
Perished,male,Yes,2,Master,Third,UNK,UNK,21.075,3.01071428571429,S,6,1.80245070252568
Survived,female,Yes,27,Mrs,Third,UNK,UNK,11.1333,2.22666,S,4,4.38891116296872
Survived,female,Yes,14,Mrs,Second,UNK,UNK,30.0708,7.5177,C,3,9.66632404830307
Survived,female,Yes,4,Miss,Third,G,port,16.7,3.34,S,4,0.523962560109794
Survived,female,Yes,58,Miss,First,C,starboard,26.55,8.85,S,2,8.28858399065211
Perished,male,No,20,Mr,Third,UNK,UNK,8.05,2.68333333333333,S,2,1.65447718231007
Perished,male,No,39,Mr,Third,UNK,UNK,31.275,3.475,S,8,6.01460300618783
Perished,female,Yes,14,Miss,Third,UNK,UNK,7.8542,2.61806666666667,S,2,4.12549015600234
Survived,female,Yes,55,Mrs,Second,UNK,UNK,16,5.33333333333333,S,2,0.987030344549567
Perished,male,Yes,2,Master,Third,UNK,UNK,29.125,3.640625,Q,7,0.140640675090253
Survived,male,No,30,Mr,Second,UNK,UNK,13,4.33333333333333,S,2,1.05817230185494
Perished,female,Yes,31,Mrs,Third,UNK,UNK,18,4.5,S,3,9.03799249557778
Survived,female,Yes,35,Mrs,Third,UNK,UNK,7.225,2.40833333333333,C,2,1.92821416538209
Perished,male,No,35,Mr,Second,UNK,UNK,26,8.66666666666667,S,2,3.85482979472727
Survived,male,No,34,Mr,Second,D,port,13,4.33333333333333,S,2,4.7110060043633
Survived,female,Yes,15,Miss,Third,UNK,UNK,8.0292,2.6764,Q,2,0.792747186496854
Survived,male,No,28,Mr,First,A,port,35.5,11.8333333333333,S,2,2.17354808468372
Perished,female,Yes,8,Miss,Third,UNK,UNK,21.075,3.01071428571429,S,6,8.03766656666994
Survived,female,Yes,38,Mrs,Third,UNK,UNK,31.3875,3.4875,S,8,3.60279608517885
Perished,male,No,30,Mr,Third,UNK,UNK,7.225,2.40833333333333,C,2,4.29231665795669
Perished,male,No,19,Mr,First,C,starboard,263,32.875,S,7,2.39147439133376
Survived,female,Yes,21,Miss,Third,UNK,UNK,7.8792,2.6264,Q,2,9.23138902988285
Perished,male,No,30,Mr,Third,UNK,UNK,7.8958,2.63193333333333,S,2,8.48026144085452
Perished,male,No,40,Noble,First,UNK,UNK,27.7208,9.24026666666667,C,2,6.57489521428943
Survived,female,Yes,35,Mrs,First,B,port,146.5208,36.6302,C,3,1.54949669027701
Survived,female,Yes,21,Miss,Third,UNK,UNK,7.75,2.58333333333333,Q,2,1.88290536403656
Perished,male,No,66,Mr,Second,UNK,UNK,10.5,3.5,S,2,8.18112438544631
Perished,male,No,28,Mr,First,UNK,UNK,82.1708,20.5427,C,3,7.28370213881135
Perished,male,No,42,Mr,First,UNK,UNK,52,13,S,3,7.20344792818651
Survived,male,No,30,Mr,Third,UNK,UNK,7.2292,2.40973333333333,C,2,4.53733588801697
Perished,male,No,21,Mr,Third,UNK,UNK,8.05,2.68333333333333,S,2,6.0463193920441
Perished,female,Yes,18,Miss,Third,UNK,UNK,18,3.6,S,4,6.50306185008958
Survived,female,Yes,14,Miss,Third,UNK,UNK,11.2417,2.810425,C,3,7.06641897791997
Perished,female,Yes,40,Mrs,Third,UNK,UNK,9.475,2.36875,S,3,7.41966734873131
Perished,female,Yes,27,Mrs,Second,UNK,UNK,21,5.25,S,3,3.05705833248794
Perished,male,No,30,Mr,Third,UNK,UNK,7.8958,2.63193333333333,C,2,6.84351838426664
Survived,female,Yes,3,Miss,Second,UNK,UNK,41.5792,6.92986666666667,C,5,2.93651948450133
